player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Aaron Gordon,10101.75,22.5,204.7875,102.341695,66.0,12.8125,6.225,2.45,-0.38749999999999984,0.0575,0.16725,0.197625,0.540125,0.1225,16.3
Aaron Holiday,11102.25,23.5,183.515,83.91452,61.25,7.225,1.7249999999999999,2.35,1.9000000000000001,0.014,0.07925,0.18974999999999997,0.5215000000000001,0.1825,3.9
Aaron Nesmith,11648.5,21.5,195.58,97.52228,49.0,4.25,2.25,0.45,1.25,0.032999999999999946,0.13149999999999995,0.14849999999999997,0.54,0.052000000000000005,10.1
Aaron Wiggins,11959.0,23.0,193.04,86.18248,50.0,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083,6.8
Admiral Schofield,11404.5,24.0,195.58,109.315672,35.5,3.4,1.8499999999999999,0.6,-10.3,0.025,0.126,0.1305,0.52,0.07050000000000001,4.2
Al Horford,8462.6,29.0,207.772,111.28123733333334,63.333333333333336,13.78,8.026666666666667,3.253333333333333,3.753333333333333,0.06966666666666667,0.20286666666666667,0.19299999999999998,0.5684666666666666,0.16206666666666666,9.8
Alec Burks,9411.727272727272,25.0,198.12,95.8316189090909,56.81818181818182,10.727272727272727,3.536363636363636,1.981818181818182,-2.390909090909091,0.028363636363636355,0.13727272727272727,0.21345454545454545,0.5308181818181819,0.1338181818181818,12.8
Aleksej Pokusevski,11338.0,19.0,213.36,86.18248,45.0,8.2,4.7,2.2,-16.7,0.025,0.155,0.1969999999999999,0.43,0.133,8.1
Alex Caruso,10874.6,26.0,195.072,84.368112,45.0,6.42,2.58,2.7600000000000002,4.66,0.025799999999999962,0.09299999999999999,0.1444,0.5376000000000001,0.18239999999999998,5.6
Alex Len,9883.555555555555,25.0,215.05333333333334,114.90997333333333,63.333333333333336,7.277777777777778,5.5777777777777775,0.8444444444444444,-5.777777777777778,0.09777777777777777,0.2052222222222222,0.17055555555555554,0.5614444444444444,0.068,1.7
Alize Johnson,11117.75,24.5,202.565,96.161504,18.0,2.475,2.9749999999999996,0.42500000000000004,-1.9499999999999997,0.11399999999999999,0.23874999999999996,0.14099999999999996,0.48574999999999996,0.07075000000000001,1.8
Alperen Sengun,12008.0,19.0,208.28,110.222856,72.0,9.6,5.5,2.6,-10.2,0.089,0.174,0.214,0.552,0.193,14.8
Amir Coffey,11402.666666666666,24.0,200.66,95.25432,43.666666666666664,5.133333333333334,1.5999999999999999,1.0333333333333334,-0.8666666666666667,0.021666666666666667,0.083,0.15766666666666665,0.5586666666666666,0.11366666666666664,3.4
Andre Drummond,9650.6,23.5,209.55,125.7357024,71.8,13.780000000000001,13.1,1.44,-1.7100000000000002,0.1524,0.31799999999999995,0.21559999999999996,0.5454,0.0795,6.0
Andre Iguodala,7738.5,29.5,198.12,95.50631555555555,67.94444444444444,10.622222222222222,4.777777777777778,4.1,4.866666666666666,0.032499999999999994,0.13461111111111113,0.1556111111111111,0.5502222222222222,0.19405555555555554,2.1
Andrew Wiggins,10105.5,23.5,202.2475,89.811216,74.75,19.325,4.4875,2.4,-1.1,0.03674999999999999,0.095125,0.24662499999999996,0.532,0.11074999999999999,17.1
Anfernee Simons,11131.75,21.5,191.135,82.55374400000001,52.75,9.3,1.9250000000000003,1.8499999999999999,-6.7250000000000005,0.016,0.08275,0.211,0.55225,0.14224999999999993,21.1
Anthony Davis,9599.2,24.5,208.53400000000002,110.26821519999999,60.4,23.61,10.07,2.44,1.05,0.0769,0.22939999999999997,0.2778,0.5824,0.12010000000000001,25.9
Anthony Edwards,11684.0,19.5,193.04,102.0582,72.0,20.3,4.75,3.3499999999999996,-0.5,0.023,0.11699999999999999,0.263,0.5415000000000001,0.15749999999999997,24.6
Anthony Gill,11685.0,28.5,200.66,104.32616,35.0,3.5999999999999996,1.95,0.5,2.0999999999999996,0.0745,0.13149999999999995,0.1405,0.6395,0.0765,3.3
Anthony Lamb,11686.0,23.5,198.12,102.965384,13.0,2.75,1.7,1.0,10.1,0.0275,0.11699999999999999,0.1245,0.2615,0.24000000000000002,6.7
Austin Reaves,12011.0,24.0,195.58,89.357624,61.0,7.3,3.2,1.8,1.8,0.031,0.099,0.121,0.6,0.1009999999999999,13.0
Austin Rivers,9590.7,24.5,192.786,90.7184,65.5,8.77,2.09,2.2199999999999998,-0.65,0.014599999999999991,0.07769999999999999,0.1738,0.513,0.13779999999999998,4.9
Ayo Dosunmu,11987.0,22.0,193.04,90.7184,77.0,8.8,2.8,3.3,-5.0,0.013,0.09,0.138,0.596,0.1639999999999999,8.6
Bam Adebayo,10882.4,22.0,206.756,115.66596,68.6,13.9,8.42,3.5200000000000005,2.7199999999999998,0.0792,0.21539999999999995,0.20140000000000002,0.605,0.1876,20.4
Ben Simmons,10587.75,22.5,208.915,106.59412,68.75,15.85,7.975,7.699999999999999,4.675,0.055,0.16875,0.20999999999999996,0.58125,0.3365,6.9
Bismack Biyombo,9349.818181818182,24.0,205.0472727272727,113.60417818181818,67.0909090909091,5.2272727272727275,5.9363636363636365,0.6,-6.090909090909091,0.10463636363636362,0.21709090909090908,0.1289090909090909,0.5605454545454545,0.04945454545454546,4.3
Blake Griffin,9116.25,27.5,207.645,113.70039466666667,60.333333333333336,19.083333333333332,7.791666666666667,4.091666666666667,3.908333333333333,0.062166666666666655,0.1975833333333333,0.2625,0.5491666666666667,0.21016666666666664,4.1
Boban Marjanovic,10357.42857142857,30.0,221.7057142857143,131.54168,40.857142857142854,5.7,3.6714285714285713,0.4428571428571429,5.585714285714286,0.14142857142857143,0.27299999999999996,0.25357142857142856,0.6195714285714286,0.07585714285714286,3.3
Bobby Portis,10355.285714285714,24.0,209.73142857142855,111.71322971428572,64.71428571428571,11.042857142857143,6.6,1.1714285714285713,-2.1714285714285717,0.08385714285714285,0.21599999999999997,0.21528571428571427,0.5414285714285715,0.08485714285714284,14.1
Bogdan Bogdanovic,10873.0,27.0,198.12,97.52228,63.2,14.5,3.4799999999999995,3.38,-0.6,0.01579999999999996,0.10339999999999998,0.211,0.5658000000000001,0.17739999999999995,14.0
Bojan Bogdanovic,10090.375,29.5,202.565,100.980919,75.375,15.1875,3.6375,1.5999999999999999,0.4374999999999999,0.02,0.10674999999999998,0.21287499999999995,0.588125,0.08224999999999999,21.6
Bol Bol,11378.333333333334,21.0,218.43999999999997,99.79024,17.666666666666668,3.4333333333333336,1.6333333333333335,0.5,-11.4,0.035333333333333335,0.17866666666666667,0.18566666666666665,0.572,0.09066666666666667,9.1
Bones Hyland,11998.0,21.0,187.96,76.657048,69.0,10.1,2.7,2.8,1.7,0.011,0.133,0.231,0.5579999999999999,0.22,11.8
Bradley Beal,9580.8,24.5,194.31,93.893544,64.5,22.0,4.08,4.2299999999999995,0.0899999999999999,0.02639999999999999,0.09749999999999999,0.2714,0.5549999999999999,0.1977,23.2
Brandon Clarke,11355.333333333334,24.0,203.19999999999996,97.52227999999998,60.333333333333336,10.933333333333332,5.6000000000000005,1.4333333333333333,2.533333333333333,0.07666666666666667,0.16166666666666665,0.17266666666666663,0.6276666666666667,0.09566666666666664,10.0
Brandon Ingram,10612.166666666666,21.5,204.04666666666665,86.18248,61.333333333333336,19.016666666666666,5.2,3.9499999999999997,-1.5333333333333332,0.022499999999999982,0.13066666666666668,0.24316666666666661,0.5483333333333333,0.18116666666666667,24.7
Braxton Key,11899.0,25.0,203.2,102.0582,11.0,7.2,4.5,1.0,8.0,0.0579999999999999,0.187,0.184,0.508,0.077,1.3
Brook Lopez,8621.57142857143,27.5,213.35999999999999,123.02063028571429,62.0,16.571428571428573,5.885714285714286,1.3214285714285714,-0.8142857142857143,0.07171428571428569,0.13792857142857143,0.24014285714285716,0.571,0.07671428571428571,15.9
Bruce Brown,11068.5,23.5,193.675,91.625584,67.25,7.75,4.35,2.225,-0.09999999999999991,0.05174999999999998,0.12675,0.14375,0.5415,0.127,11.5
